produto,preco_real,imagem_url,rating,peso_g,preco_100g,categoria,data_coleta
Café Torrado e Moído 3 Corações Tradicional - Pacote 250g,13.99,,4.0,250.0,5.6,Café,2025-04-25
Café Em Pó Tradicional Melitta 500g,125.81,,4.9,500.0,25.16,Café,2025-04-25
Café Torrado e Moído 3 Corações Extra Forte a Vácuo 250g,19.99,,5.0,250.0,8.0,Café,2025-04-25
Café Maratá Tradicional Torrado e Moido Peso Liquido 250g,12.75,,,250.0,5.1,Café,2025-04-25
Café Aromatizado Cafe Torrado e Moido Café Italle Sabores Aroma 250g,24.21,,5.0,250.0,9.68,Café,2025-04-25
Café Aromatizado Cafe Torrado e Moido Café Italle Sabores Aroma 250g,26.59,,5.0,250.0,10.64,Café,2025-04-25
Café Moído Especial 3 Corações Rituais 85+ Exótico 100% Arábica Pacote 250g,24.74,,5.0,250.0,9.9,Café,2025-04-25
Café Moído Especial 3 Corações Rituais 85+ Frutas Vermelhas 100% Arábica Pacote 250g,20.78,,5.0,250.0,8.31,Café,2025-04-25
Café tradicional a vácuo melitta 500g,30.0,,,500.0,6.0,Café,2025-04-25
Café Moído Extraforte Melitta 500g,30.0,,,500.0,6.0,Café,2025-04-25
Café Torrado e Moído 3 Corações Tradicional Pacote 250g,19.59,,4.0,250.0,7.84,Café,2025-04-25
Café Torrado e Moído a Vácuo Melitta Tradicional 250g,28.5,,3.3,250.0,11.4,Café,2025-04-25
Café Moído Tradicional à Vácuo 3Corações 250g,21.61,,,250.0,8.64,Café,2025-04-25
Cafe Melitta Puro Tradicional 500g,131.79,,4.9,500.0,26.36,Café,2025-04-25
Café Moído Gourmet 3 Corações 100% Arábica Mogiana Paulista Pacote 250g,27.71,,5.0,250.0,11.08,Café,2025-04-25
Café Moído Gourmet 3 Corações 100% Arábica Cerrado Mineiro 250g,36.63,,5.0,250.0,14.65,Café,2025-04-25
Café Torrado E Moído Cafe Moido Cafe Pó 500g,22.41,,,500.0,4.48,Café,2025-04-25
CAFÉ TORRADO EM GRÃO AMÉRICA VENDING 1kg,87.47,,4.5,1000.0,8.75,Café,2025-04-25
Café Torrado e Moído 3 Corações Tradicional a Vácuo 250g,19.99,,5.0,250.0,8.0,Café,2025-04-25
Café Gourmet Moido Aromas Baggio De Chocolate Trufado 250g,38.75,,4.9,250.0,15.5,Café,2025-04-25
Café Tradicional Vácuo MELITTA 250g,30.31,,3.3,250.0,12.12,Café,2025-04-25
Café Torrado e Moído 3 Corações Tradicional - Pacote 250g,15.9,,4.0,250.0,6.36,Café,2025-04-25
Cafe Graos Torra Media Gourmet Café Italle 1kg,84.9,,4.3,1000.0,8.49,Café,2025-04-25
CAFÉ TORRADO EM GRÃO AMÉRICA PREMIUM 1kg,93.42,,5.0,1000.0,9.34,Café,2025-04-25
Kit 5 Pacotes de Café Odebrecht Torrado e Moido Gourmet Arábica Especial 500g - 5 x 500g,149.9,,5.0,500.0,29.98,Café,2025-04-25
Café Melitta Tradicional Vácuo 500g,36.9,,4.9,500.0,7.38,Café,2025-04-25
Cafe Po Vacuo Melitta Tradicional 250g,22.6,,3.3,250.0,9.04,Café,2025-04-25
Café Torrado e Moído 3 Corações Extra Forte Pacote 250g,19.99,,,250.0,8.0,Café,2025-04-25
Café Constantino Em Grãos Especial - 1kg,99.99,,4.7,1000.0,10.0,Café,2025-04-25
Café ouro tradicional vácuo 500g,19.9,,,500.0,3.98,Café,2025-04-25
Pack com 4x Café Torrado e Moído Melitta Tradicional 500g,188.95,,,500.0,37.79,Café,2025-04-25
Cafe Torrado Oca 250G- 100% Arábica,17.05,,,250.0,6.82,Café,2025-04-25
Café Três Corações Extra Forte Kit 3 Pacotes a Vácuo 250g,73.63,,,250.0,29.45,Café,2025-04-25
Cafe Po Vacuo Selecao de Minas Gourmet 500g,25.64,,,500.0,5.13,Café,2025-04-25
Café Moído Gourmet 3 Corações 100% Arábica Sul de Minas Pacote 250g,36.63,,5.0,250.0,14.65,Café,2025-04-25
Café Torrado e Moído 3 Corações Tradicional - Pacote 250g,15.0,,4.0,250.0,6.0,Café,2025-04-25
Café Torrado e Moído Aviação - 500g,49.16,,4.0,500.0,9.83,Café,2025-04-25
Café Torrado e Moído LOR Delicado Gourmet 250g,25.56,,5.0,250.0,10.22,Café,2025-04-25
Cafe Po Vacuo Odebrecht Tradicional 500g,26.92,,,500.0,5.38,Café,2025-04-25
Café Torrado e Moído Cerrado Mineiro Gourmet 3 Corações Pacote 250g,27.59,,5.0,250.0,11.04,Café,2025-04-25
Café Especial Grão Havanna Cerrado Mineiro 100% Arábica 500g,59.76,,5.0,500.0,11.95,Café,2025-04-25
Café Torrado e Moído Cerrado Mineiro Gourmet 3 Corações Pacote 250g,26.18,,5.0,250.0,10.47,Café,2025-04-25
Café Extraforte Melitta Vácuo 500G,35.27,,4.5,500.0,7.05,Café,2025-04-25
Café Solúvel Iguaçu Liofilizado Gourmet Vidro 100g,36.59,,5.0,100.0,36.59,Café,2025-04-25
Café 3 Corações Premium Estrada Real 500g,37.99,,5.0,500.0,7.6,Café,2025-04-25
Café Gourmet Torrado e Moído 100% Arábica 250g Café Bello Grão,21.9,,,250.0,8.76,Café,2025-04-25
